transect,parcel,bearing,x,y
1,LAW129,120,382981,4139074
2,LAW129,40,383014,4138826
3,LAW129,220,383041,4138959
4,LAW129,120,383066,4139101
5,LAW129,40,383099,4138849
6,LAW129,320,383124,4138958
7,LAW129,120,383144,4139070
8,LAW129,40,383185,4138885
9,LAW129,220,383212,4138957
10,LAW129,120,383223,4139132
11,LAW129,40,383278,4138829
12,LAW129,320,383296,4138957
13,LAW129,120,383328,4139089
14,LAW129,40,383359,4138884
15,LAW129,220,383380,4138957
16,LAW129,120,383401,4139160
17,LAW129,40,383444,4138840
18,LAW129,320,383472,4138957
19,LAW129,120,383486,4139117
20,LAW129,40,383501,4138890
21,LAW095,40,381786,4141852
22,LAW095,220,381858,4141994
23,LAW095,40,381876,4141898
24,LAW095,120,381919,4142151
25,LAW095,320,381925,4141940
26,LAW095,40,381952,4141858
27,LAW095,120,381966,4142075
28,LAW095,220,381987,4141995
29,LAW095,40,382013,4141823
30,LAW095,40,382033,4141910
31,LAW095,120,382034,4142126
32,LAW095,120,382054,4142038
33,LAW095,40,382082,4141873
34,LAW095,320,382105,4141951
35,LAW095,120,382117,4142113
36,LAW095,120,382157,4142170
37,LAW095,220,382164,4141922
38,LAW095,40,382188,4141835
39,LAW095,320,382208,4141952
40,LAW095,120,382222,4142070
41,LAW094,40,382289,4141814
42,LAW094,220,382305,4141964
43,LAW094,40,382325,4142141
44,LAW094,120,382339,4142096
45,LAW094,320,382349,4142004
46,LAW094,40,382369,4141926
47,LAW094,120,382385,4141846
48,LAW094,220,382428,4141892
49,LAW094,40,382432,4141963
50,LAW094,40,382437,4142061
51,LAW094,120,382478,4142147
52,LAW094,120,382496,4142088
53,LAW094,40,382488,4141971
54,LAW094,320,382515,4141887
55,LAW094,120,382562,4141822
56,LAW094,120,382565,4141945
57,LAW094,220,382561,4142049
58,LAW094,40,382605,4142133
59,LAW094,320,382618,4142045
60,LAW094,120,382643,4141900
61,LAW090,40,381997,4142268
62,LAW090,320,382026,4142492
63,LAW090,120,382067,4142808
64,LAW090,120,382092,4142667
65,LAW090,40,382129,4142394
66,LAW090,40,382160,4142296
67,LAW090,320,382193,4142545
68,LAW090,120,382229,4142724
69,LAW090,40,382240,4142344
70,LAW090,220,382273,4142617
71,LAW090,40,382308,4142285
72,LAW090,320,382332,4142501
73,LAW090,120,382371,4142820
74,LAW090,120,382399,4142741
75,LAW090,120,382424,4142663
76,LAW090,220,382462,4142402
77,LAW090,40,382497,4142320
78,LAW090,320,382531,4142391
79,LAW090,120,382540,4142635
80,LAW090,220,382565,4142562
